"median_ratio_for_sst","median_ratio_for_npgo","CU_name"
-2.9,-0.97,"Southwest Vancouver Island"
-0.51,0.42,"Northwest Vancouver Island"
1.03,-1.64,"Smith Inlet"
0.65,-1.59,"Rivers Inlet"
0.89,-1.37,"Wannock"
1.82,-2.53,"Spiller-Fitz Hugh-Burke"
-0.68,-1.06,"Bella Coola-Dean Rivers"
2.25,-3.04,"Hecate Lowlands"
1.38,-1.52,"Mussel-Kynoch"
0.6,-0.75,"Douglas-Gardner"
1,1.47,"East Hg"
1.83,2.25,"Skidegate"
2.51,-2.51,"West Haida Gwaii"
-0.85,0.78,"North Haida Gwaii"
0.94,-1.3,"Lower Skeena"
0.96,-1.3,"Middle Skeena"
1.35,-2.1,"Portland Inlet"
-1.07,-1.85,"Portland Canal-Observatory"
-0.77,-0.93,"Georgia Strait"
-1.15,-1.65,"Northeast Vancouver Island"
0.63,-1.72,"Loughborough"
-0.37,-1.2,"Bute Inlet"
1.74,-1.7,"Southern Coastal Streams"
-0.85,-1.1,"Upper Knight"
